group_id,user_id
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,3f8a9a61-09fd-4d7b-8f4e-7d2d8e6cc101
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,4b6d2f7c-c7a2-4cb0-9f9f-92b86b5a2102
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,9f2d7f5e-2b45-4c0d-88f4-1d0d5f77a303
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,26a0c6a1-782d-4fb6-9f4a-4a0e763ff404
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,44e2ab31-a0d3-4d65-8d46-50c3d3176f09
a3d24710-8b6a-4dc1-8d0c-4fe6b1fdd111,12f5d7de-8ab4-4c4c-90bb-a937cb0e2e10
9de6d4e0-6f37-4d8d-b733-9e1309a3d222,3f8a9a61-09fd-4d7b-8f4e-7d2d8e6cc101
9de6d4e0-6f37-4d8d-b733-9e1309a3d222,26a0c6a1-782d-4fb6-9f4a-4a0e763ff404
3cb2b0a3-d77f-445f-a08f-26c8659f2333,6cb61c56-e0a6-4e1a-b90a-1bf4f5f6b505
3cb2b0a3-d77f-445f-a08f-26c8659f2333,0a55f153-0d17-4dc0-9c9d-7a3f0ce8f606
3cb2b0a3-d77f-445f-a08f-26c8659f2333,70e97b7c-10c5-4938-9cf6-239f0ce12808
f02df20b-5d88-4f9d-9ab6-bf96e9f4f444,4b6d2f7c-c7a2-4cb0-9f9f-92b86b5a2102
f02df20b-5d88-4f9d-9ab6-bf96e9f4f444,9f2d7f5e-2b45-4c0d-88f4-1d0d5f77a303
f02df20b-5d88-4f9d-9ab6-bf96e9f4f444,6cb61c56-e0a6-4e1a-b90a-1bf4f5f6b505
b7fd9e9a-48af-4b3e-a9a0-ec019db8a555,3f8a9a61-09fd-4d7b-8f4e-7d2d8e6cc101
